entry,exit,dir,entry_p,exit_p,pnl,regime,strategy,reason
2026-04-22 03:00:00+00:00,2026-04-22 03:15:00+00:00,-1,2360.745490285714,2304.773934812343,115.25880174448837,RANGO,range,sl
2026-04-23 17:00:00+00:00,2026-04-24 17:00:00+00:00,-1,2308.2069874285717,2321.5725699689146,-60.661501007365324,TENDENCIA_BAJISTA,trend,timeout
2026-04-24 20:00:00+00:00,2026-04-24 20:15:00+00:00,-1,2324.582920285714,2303.496702298343,100.5584883193427,RANGO,range,sl
2026-04-25 09:00:00+00:00,2026-04-25 09:15:00+00:00,1,2320.1979668571425,2319.8418175494858,-199.4864317306411,RANGO,range,sl
2026-04-25 23:00:00+00:00,2026-04-25 23:15:00+00:00,-1,2318.416314285714,2308.2034689771426,84.34275926621086,RANGO,range,sl
2026-04-26 12:00:00+00:00,2026-04-26 12:15:00+00:00,1,2330.096706571428,2336.473052087257,61.18580212490604,RANGO,range,sl
2026-04-27 12:00:00+00:00,2026-04-28 12:00:00+00:00,-1,2311.8918922857147,2279.907664092743,45.96175453028761,TENDENCIA_BAJISTA,trend,timeout
2026-04-29 16:00:00+00:00,2026-04-30 16:00:00+00:00,-1,2265.0554345714286,2268.0240825154856,-8.832584582460637,TENDENCIA_BAJISTA,trend,timeout
2026-04-30 13:00:00+00:00,2026-04-30 13:15:00+00:00,1,2266.0325657142857,2271.5670077725713,44.65496815789802,RANGO,range,sl
2026-05-01 02:00:00+00:00,2026-05-01 02:15:00+00:00,-1,2265.371254857143,2253.9884313938287,84.47922760764817,RANGO,range,sl
2026-05-03 04:00:00+00:00,2026-05-04 04:00:00+00:00,-1,2300.1931940000004,2387.3165386388,-287.7286370100007,TENDENCIA_BAJISTA,trend,timeout
2026-05-05 18:00:00+00:00,2026-05-05 18:15:00+00:00,1,2374.1508131428573,2397.628812694514,102.60976900498872,RANGO,range,sl
2026-05-06 10:00:00+00:00,2026-05-06 10:15:00+00:00,-1,2408.06146,2357.138112292,117.34820871702252,RANGO,range,sl
2026-05-06 23:00:00+00:00,2026-05-06 23:15:00+00:00,1,2352.842810857143,2355.4467885806853,5.088146579470184,RANGO,range,sl
2026-05-09 03:00:00+00:00,2026-05-09 03:15:00+00:00,-1,2313.659434,2304.8602318868,71.99422587657162,RANGO,range,sl
2026-05-10 01:00:00+00:00,2026-05-10 01:15:00+00:00,1,2324.953019714286,2332.186723681771,67.76662325233005,RANGO,range,sl
