symbol,entry_time,direction,entry,sl_original,tp1,tp2,exit_price,pnl,contracts,close_type,tp1_hit,tp2_hit,half_tp1_hit
XRPUSDT,2026-05-19T01:25:00+00:00,bearish,1.3855,1.4004953999999998,1.3585082800000001,1.3315165600000003,1.3855,3.3603050634469,207.4898687107825,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-20T12:45:00+00:00,bullish,1.3725,1.361272,1.3927104000000001,1.4129208000000002,1.361272,-1.5808990766086735,140.79970400860984,SL,False,False,False
XRPUSDT,2026-05-20T12:50:00+00:00,bullish,1.3734,1.361272,1.3952303999999998,1.4170607999999996,1.361272,-1.5690423335341084,129.37354333229874,SL,False,False,False
XRPUSDT,2026-05-20T12:55:00+00:00,bullish,1.3734,1.361272,1.3952303999999998,1.4170607999999996,1.361272,-1.5572745160326025,128.4032417573065,SL,False,False,False
XRPUSDT,2026-05-24T13:00:00+00:00,bearish,1.3628,1.3725395999999999,1.3452687200000002,1.3277374400000006,1.3628,3.3384851074707105,317.38366199071464,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-24T13:05:00+00:00,bearish,1.3624,1.3725395999999999,1.3441487200000004,1.3258974400000008,1.3624,3.39256856621172,309.80188478212534,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-24T13:10:00+00:00,bearish,1.3625,1.3725395999999999,1.3444287200000005,1.3263574400000007,1.3625,3.447528176984332,317.9564643441981,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-24T13:15:00+00:00,bearish,1.3631,1.3725395999999999,1.3461087200000001,1.3291174400000003,1.3631,3.5033781334515037,343.64471397990997,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-24T13:20:00+00:00,bearish,1.3628,1.3725395999999999,1.3452687200000002,1.3277374400000006,1.3628,3.560132859213427,338.4553076190543,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-24T13:25:00+00:00,bearish,1.3611,1.3725395999999999,1.34050872,1.3199174400000004,1.3611,3.6178070115326824,292.8267865113051,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-25T16:10:00+00:00,bearish,1.3574,1.3684314,1.33754348,1.3176869599999999,1.3574,2.4509436567463307,205.72114824637998,TP1_partial_then_BE,True,False,True
XRPUSDT,2026-05-25T18:40:00+00:00,bearish,1.3601,1.3667280000000002,1.3481695999999999,1.3362391999999998,1.3362391999999998,4.335474234418594,259.5694453076974,TP1_partial_then_TP2,True,True,True
